Membership_ID,Age_Group,Games_Attended,Seasonal_Pass,Customer_Region,Age,Age Group
10218708,18-25,3,False,Canada,18,19-25
10043567,18-25,2,False,Canada,18,19-25
14272475,41-60,2,False,Canada,41,36-45
10034985,18-25,5,False,Canada,18,19-25
10004699,18-25,7,False,Canada,18,19-25
10043010,<18,7,False,Canada,18,19-25
10013460,26-40,3,False,Canada,26,26-35
93269968,26-40,8,False,Canada,26,26-35
10021603,26-40,7,False,Canada,26,26-35
10029771,18-25,30,True,Canada,18,19-25
8224341,18-25,6,False,USA,18,19-25
10037174,41-60,19,True,Canada,41,36-45
10024152,18-25,3,False,Canada,18,19-25
10000978,18-25,7,False,Canada,18,19-25
41565099,26-40,3,False,Canada,26,26-35
1876807,41-60,4,False,Canada,41,36-45
20876220,26-40,5,False,Canada,26,26-35
45770917,41-60,7,False,Canada,41,36-45
27659606,26-40,2,False,Canada,26,26-35
63431073,18-25,28,True,Canada,18,19-25
87016574,18-25,4,False,Canada,18,19-25
10002824,18-25,4,False,Canada,18,19-25
50941473,26-40,2,False,Canada,26,26-35
10034323,41-60,1,False,Canada,41,36-45
10022609,41-60,6,False,Canada,41,36-45
10024251,18-25,3,False,Canada,18,19-25
10167845,<18,1,False,Canada,18,19-25
10037439,18-25,3,False,Canada,18,19-25
10023128,26-40,1,False,Canada,26,26-35
50418019,26-40,4,False,Canada,26,26-35
10028953,<18,3,False,USA,18,19-25
10002159,18-25,1,False,Canada,18,19-25
10039582,26-40,1,False,Canada,26,26-35
10020062,18-25,4,False,Canada,18,19-25
27550612,<18,3,False,Canada,18,19-25
10000999,18-25,8,False,Canada,18,19-25
10042356,<18,7,False,Canada,18,19-25
15147639,18-25,3,False,Canada,18,19-25
10014802,18-25,18,True,Canada,18,19-25
10031155,26-40,8,False,Canada,26,26-35
11368611,18-25,8,False,Canada,18,19-25
10026843,26-40,5,False,Canada,26,26-35
10007006,26-40,5,False,Canada,26,26-35
69477703,26-40,5,False,USA,26,26-35
10019016,41-60,3,False,Canada,41,36-45
3002180,41-60,2,False,USA,41,36-45
10006423,18-25,6,False,USA,18,19-25
10038781,26-40,6,False,Canada,26,26-35
10010043,26-40,4,False,Canada,26,26-35
15590030,26-40,7,False,Canada,26,26-35
18309184,18-25,7,False,Canada,18,19-25
28130273,18-25,8,False,Canada,18,19-25
60466976,18-25,5,False,Canada,18,19-25
83936007,18-25,6,False,Canada,18,19-25
10011776,18-25,19,True,Canada,18,19-25
10038793,18-25,2,False,Canada,18,19-25
10033892,18-25,2,False,Canada,18,19-25
52835908,26-40,25,True,Canada,26,26-35
10040788,26-40,4,False,Canada,26,26-35
24421018,18-25,8,False,Canada,18,19-25
10015914,41-60,3,False,Canada,41,36-45
10038377,18-25,6,False,Canada,18,19-25
10029840,18-25,2,False,Canada,18,19-25
47140846,41-60,3,False,Canada,41,36-45
10017029,41-60,5,False,Canada,41,36-45
85249679,41-60,3,False,Canada,41,36-45
10005286,18-25,8,False,Canada,18,19-25
18946453,<18,4,False,Canada,18,19-25
10894509,41-60,4,False,USA,41,36-45
10014127,18-25,2,False,Canada,18,19-25
86206156,41-60,5,False,Canada,41,36-45
10690013,18-25,7,False,Canada,18,19-25
10003926,18-25,2,False,Canada,18,19-25
10015288,18-25,8,False,Canada,18,19-25
10023229,18-25,1,False,Canada,18,19-25
8655665,18-25,2,False,Canada,18,19-25
10027748,26-40,2,False,Canada,26,26-35
69651469,<18,5,False,Canada,18,19-25
10013331,60+,2,False,USA,60,
89396559,26-40,19,True,Canada,26,26-35
10015803,26-40,28,True,Canada,26,26-35
10028910,26-40,3,False,Canada,26,26-35
10000576,26-40,5,False,Japan,26,26-35
10023640,26-40,4,False,Canada,26,26-35
8824223,18-25,2,False,Canada,18,19-25
10043298,18-25,6,False,Canada,18,19-25
10039592,26-40,1,False,Canada,26,26-35
10019393,<18,5,False,Canada,18,19-25
10043808,18-25,4,False,Canada,18,19-25
10023425,26-40,6,False,Canada,26,26-35
10029762,<18,1,False,Canada,18,19-25
10031459,60+,8,False,Canada,60,
98301743,26-40,7,False,USA,26,26-35
19844967,18-25,5,False,Canada,18,19-25
10023938,18-25,2,False,Canada,18,19-25
6350301,18-25,8,False,Canada,18,19-25
10015370,<18,1,False,Canada,18,19-25
10012289,60+,8,False,Canada,60,
10025856,18-25,7,False,Canada,18,19-25
10029660,41-60,21,True,Canada,41,36-45
10035275,41-60,7,False,Canada,41,36-45
10011405,41-60,24,True,Canada,41,36-45
89180351,<18,2,False,Canada,18,19-25
58079972,18-25,7,False,USA,18,19-25
10004635,18-25,1,False,Canada,18,19-25
16261972,41-60,2,False,Canada,41,36-45
10027402,18-25,3,False,Canada,18,19-25
48681376,18-25,7,False,USA,18,19-25
18749668,26-40,8,False,Canada,26,26-35
10022384,18-25,1,False,Canada,18,19-25
6507953,41-60,1,False,Canada,41,36-45
10019973,<18,1,False,USA,18,19-25
10004797,<18,4,False,Canada,18,19-25
10035931,60+,6,False,Canada,60,
10012417,18-25,2,False,Canada,18,19-25
88144281,18-25,1,False,Canada,18,19-25
10038881,18-25,6,False,Canada,18,19-25
10029641,18-25,7,False,Canada,18,19-25
10036727,26-40,8,False,Canada,26,26-35
77360027,<18,8,False,Canada,18,19-25
10032242,18-25,3,False,Canada,18,19-25
10027229,26-40,1,False,Canada,26,26-35
10038677,<18,6,False,Canada,18,19-25
23913860,<18,1,False,Canada,18,19-25
10043405,41-60,7,False,Canada,41,36-45
88092939,18-25,1,False,Canada,18,19-25
47973369,<18,1,False,Canada,18,19-25
10018625,41-60,3,False,Canada,41,36-45
2581856,<18,4,False,Canada,18,19-25
78911748,26-40,3,False,Canada,26,26-35
10007592,18-25,2,False,Canada,18,19-25
10000781,18-25,7,False,Canada,18,19-25
32932788,26-40,5,False,Canada,26,26-35
27462568,18-25,3,False,India,18,19-25
10012923,18-25,1,False,Canada,18,19-25
99382603,18-25,2,False,Canada,18,19-25
10029458,41-60,1,False,Canada,41,36-45
10016677,18-25,6,False,Canada,18,19-25
10025419,41-60,5,False,Canada,41,36-45
57499557,<18,17,True,Canada,18,19-25
79686249,26-40,7,False,Canada,26,26-35
10013624,18-25,6,False,Canada,18,19-25
10025396,26-40,4,False,Canada,26,26-35
10043736,60+,6,False,Canada,60,
10012084,18-25,2,False,Canada,18,19-25
81433672,60+,5,False,Canada,60,
21104033,<18,5,False,Canada,18,19-25
10005753,18-25,1,False,Canada,18,19-25
10022166,18-25,2,False,Canada,18,19-25
75899523,26-40,8,False,Canada,26,26-35
53357977,<18,6,False,Canada,18,19-25
10006274,60+,1,False,Canada,60,
10044437,41-60,22,True,Canada,41,36-45
10004368,18-25,8,False,Canada,18,19-25
10001736,<18,1,False,Canada,18,19-25
10035590,18-25,21,True,Canada,18,19-25
10022488,60+,1,False,Canada,60,
42320378,18-25,17,True,Canada,18,19-25
10013756,26-40,6,False,Canada,26,26-35
10021282,26-40,6,False,Canada,26,26-35
10033362,41-60,7,False,USA,41,36-45
10043148,26-40,3,False,Canada,26,26-35
10011096,26-40,4,False,Canada,26,26-35
10029545,18-25,4,False,Canada,18,19-25
10019450,18-25,3,False,Canada,18,19-25
66693418,41-60,6,False,Canada,41,36-45
10021454,26-40,8,False,Canada,26,26-35
12425642,18-25,8,False,Canada,18,19-25
10023340,60+,1,False,Canada,60,
95739551,18-25,5,False,Canada,18,19-25
10030421,18-25,16,True,Canada,18,19-25
44233836,26-40,16,True,Canada,26,26-35
10001478,18-25,30,True,Canada,18,19-25
10041093,18-25,4,False,Canada,18,19-25
10013567,18-25,6,False,Canada,18,19-25
6655168,<18,4,False,Canada,18,19-25
10019478,18-25,8,False,Canada,18,19-25
10005078,41-60,3,False,Canada,41,36-45
32885637,18-25,7,False,Canada,18,19-25
10016649,18-25,8,False,Canada,18,19-25
13865290,41-60,7,False,Canada,41,36-45
5256183,41-60,3,False,Canada,41,36-45
10011547,18-25,5,False,Canada,18,19-25
7050706,18-25,4,False,Canada,18,19-25
10003598,41-60,3,False,Canada,41,36-45
10016362,18-25,5,False,Canada,18,19-25
74958116,18-25,1,False,Canada,18,19-25
10009195,18-25,24,True,Canada,18,19-25
10021836,18-25,8,False,Canada,18,19-25
49087873,18-25,5,False,Canada,18,19-25
74961621,41-60,5,False,Canada,41,36-45
10015395,26-40,6,False,Canada,26,26-35
11340805,18-25,1,False,Canada,18,19-25
10029672,26-40,21,True,Canada,26,26-35
97858685,18-25,5,False,Canada,18,19-25
10043980,60+,7,False,Canada,60,
10004794,26-40,7,False,Canada,26,26-35
41082006,18-25,2,False,Canada,18,19-25
10009702,26-40,5,False,Canada,26,26-35
10023060,26-40,1,False,Canada,26,26-35
6065602,18-25,3,False,Canada,18,19-25
10036524,18-25,6,False,Canada,18,19-25
10022015,26-40,3,False,Canada,26,26-35
10010179,41-60,5,False,Canada,41,36-45
10002702,41-60,6,False,Canada,41,36-45
36302750,18-25,6,False,USA,18,19-25
5061345,<18,6,False,Canada,18,19-25
10017593,18-25,2,False,Canada,18,19-25
35271373,18-25,8,False,Canada,18,19-25
10006971,26-40,5,False,USA,26,26-35
94545671,18-25,5,False,Canada,18,19-25
10028890,26-40,1,False,Canada,26,26-35
89854086,18-25,2,False,Canada,18,19-25
10030352,<18,4,False,Canada,18,19-25
10001379,18-25,3,False,Canada,18,19-25
10011601,18-25,6,False,Canada,18,19-25
10020109,18-25,30,True,Canada,18,19-25
10014882,<18,1,False,Canada,18,19-25
10022264,18-25,7,False,Canada,18,19-25
40790713,18-25,27,True,Canada,18,19-25
10015714,18-25,7,False,Canada,18,19-25
10008095,26-40,4,False,Canada,26,26-35
57599184,18-25,1,False,Canada,18,19-25
10037445,41-60,1,False,Canada,41,36-45
10006850,26-40,1,False,Canada,26,26-35
10041609,<18,8,False,Canada,18,19-25
10040395,26-40,2,False,Canada,26,26-35
10014680,41-60,6,False,USA,41,36-45
10003315,18-25,1,False,USA,18,19-25
59669270,26-40,1,False,Canada,26,26-35
10031192,18-25,8,False,Canada,18,19-25
77422989,26-40,8,False,Canada,26,26-35
36566307,41-60,1,False,Canada,41,36-45
78526046,26-40,8,False,Canada,26,26-35
36235784,18-25,7,False,USA,18,19-25
10001449,18-25,6,False,Canada,18,19-25
10041289,18-25,3,False,Canada,18,19-25
10032449,41-60,4,False,Canada,41,36-45
10022796,18-25,1,False,Canada,18,19-25
22686712,<18,2,False,Canada,18,19-25
10028191,41-60,3,False,Canada,41,36-45
10017616,18-25,3,False,Canada,18,19-25
10016802,18-25,1,False,Canada,18,19-25
45437719,18-25,1,False,Canada,18,19-25
10017955,18-25,5,False,Canada,18,19-25
54299483,<18,3,False,Canada,18,19-25
50345311,18-25,2,False,Canada,18,19-25
3130872,18-25,3,False,Canada,18,19-25
10032810,<18,8,False,Canada,18,19-25
94382767,26-40,7,False,Canada,26,26-35
10037996,26-40,6,False,Canada,26,26-35
70154270,18-25,6,False,Canada,18,19-25
10044335,18-25,1,False,Canada,18,19-25
10021839,41-60,7,False,Canada,41,36-45
10005126,18-25,7,False,Canada,18,19-25
19761982,18-25,1,False,Canada,18,19-25
60547845,18-25,8,False,Canada,18,19-25
10023498,<18,8,False,Canada,18,19-25
10039465,26-40,6,False,Canada,26,26-35
10028158,18-25,6,False,Canada,18,19-25
10022392,<18,5,False,Canada,18,19-25
10030457,<18,2,False,USA,18,19-25
10027861,26-40,5,False,Canada,26,26-35
10041239,18-25,8,False,Canada,18,19-25
36815595,26-40,4,False,Canada,26,26-35
10020230,18-25,3,False,Canada,18,19-25
10032413,18-25,1,False,Canada,18,19-25
10016799,18-25,5,False,Canada,18,19-25
7390235,18-25,2,False,Canada,18,19-25
10020468,18-25,4,False,Canada,18,19-25
10022762,18-25,7,False,Canada,18,19-25
90451498,<18,7,False,Canada,18,19-25
10027536,41-60,6,False,Canada,41,36-45
10035234,18-25,8,False,Canada,18,19-25
10022298,18-25,1,False,China,18,19-25
95133698,18-25,26,True,Canada,18,19-25
88838514,41-60,4,False,Canada,41,36-45
62307122,<18,6,False,Canada,18,19-25
10041602,26-40,1,False,Canada,26,26-35
10031532,18-25,6,False,Canada,18,19-25
64147394,41-60,8,False,Canada,41,36-45
10036228,26-40,6,False,Canada,26,26-35
10019473,18-25,2,False,Canada,18,19-25
10019807,41-60,3,False,Canada,41,36-45
42008619,18-25,4,False,USA,18,19-25
10040985,26-40,1,False,Canada,26,26-35
2053722,18-25,6,False,USA,18,19-25
73707093,18-25,3,False,Canada,18,19-25
41577402,41-60,1,False,Canada,41,36-45
10001257,18-25,6,False,Canada,18,19-25
28220288,18-25,3,False,Canada,18,19-25
10036514,26-40,6,False,Canada,26,26-35
